location,store,item,price,category
diploma,temple square,chicken burger,80,non veg
diploma,temple square,strawberry shake,50,shakes
diploma,temple square,butterscotch shake,50,shakes
diploma,temple square,vanila oreo,60,shakes
diploma,temple square,chocolate milkshake,60,shakes
diploma,panipuri stall,panipuri,20,veg
diploma,panipuri stall,dahi puri,30,veg
diploma,panipuri stall,masala puri,30,veg
diploma,panipuri stall,chat,30,veg
diploma,panipuri stall,mixture,35,veg
diploma,panipuri stall,mirapakay bajji,30,veg
diploma,panipuri stall,artikay bajji,30,veg
diploma,panipuri stall,bajji mixture,35,veg
diploma,juice centre,bananna,40,juice
diploma,juice centre,kharbuja,30,juice
diploma,juice centre,apple,45,juice
diploma,juice centre,promogranate,45,juice
diploma,juice centre,carrot,30,juice
diploma,juice centre,orange,30,juice
diploma,juice centre,pineapple,30,juice
diploma,juice centre,grape,30,juice
diploma,juice centre,pappaya,30,juice
diploma,juice centre,watermelon,30,juice
diploma,juice centre,sappota,30,juice
diploma,juice centre,fruit salad,40,juice
diploma,softy icecream,vanila softy,30,icecreams
diploma,softy icecream,chocolate softy,30,icecreams
diploma,softy icecream,mixed softy,30,icecreams
diploma,softy icecream,vanila scoop,30,icecreams
diploma,softy icecream,chocolate scoop,30,icecreams
diploma,softy icecream,butterscotch scoop,30,icecreams
diploma,softy icecream,pista scoop,30,icecreams
diploma,softy icecream,strawberry scoop,30,icecreams
diploma,softy icecream,americandry scoop,30,icecreams
diploma,softy icecream,froot single,30,icecreams
diploma,softy icecream,cashew grape single scoop,30,icecreams
diploma,softy icecream,blackcurrent ,30,icecreams
diploma,softy icecream,roll icecreams,30,icecreams
diploma,franky stall,chicken frankie,75,non veg
diploma,franky stall,paneer frankie,60,veg
diploma,milk parlour,chittidli,20,veg
diploma,milk parlour,cool drinks,20,drinks
diploma,milk parlour,sweets,30,veg
diploma,milk parlour,butter milk,10,drinks
diploma,anapurna,single puri,20,veg
diploma,anapurna,single vada,20,veg
diploma,anapurna,mysoore bajji,30,veg
diploma,anapurna,ravva punuku,30,veg
diploma,anapurna,chapati,40,veg
diploma,anapurna,egg chapati,50,veg
diploma,anapurna,plain dosa,30,veg
diploma,anapurna,onion dosa,35,veg
diploma,anapurna,masala dosa,45,veg
diploma,anapurna,ravva dosa,40,veg
diploma,anapurna,egg dosa,50,veg
diploma,anapurna,uttapam,40,veg
diploma,anapurna,mirchi bajji,20,veg
diploma,anapurna,challa punugulu,20,veg
diploma,anapurna,onion pakoda,30,veg
diploma,anapurna,egg bajji,20,veg
diploma,anapurna,chicken friedrice,170,non veg
diploma,anapurna,chicken biryani,170,non veg
diploma,anapurna,veg biryani,120,veg
diploma,anapurna,veg friedrice,100,veg
diploma,anapurna,mixed biryani,200,non veg
diploma,anapurna,egg biryani,160,veg
diploma,anapurna,prawn biryani,200,non veg
diploma,anapurna,sp biryani,190,non veg
diploma,anapurna,panjabi biryani,200,non veg
diploma,anapurna,egg friedrice,120,veg
diploma,anapurna,chicken roasted friedrice,170,non veg
diploma,anapurna,prawn friedrice,190,non veg
diploma,anapurna,mixed friedrice,200,non veg
diploma,anapurna,sp friedrice,190,non veg
diploma,anapurna,veg noodles,100,veg
diploma,anapurna,egg noodles,110,veg
diploma,anapurna,chicken noodles,130,non veg
diploma,anapurna,meals,76,veg
diploma,anapurna,egg omlet single,20,veg
diploma,anapurna,egg omlet double,35,veg
diploma,anapurna,egg 65,100,veg
diploma,anapurna,egg manchuria,100,veg
diploma,anapurna,chicken 65,170,non veg
diploma,anapurna,chicken spring roll,170,non veg
diploma,anapurna,chicken manchuria,170,non veg
diploma,anapurna,chicken kabab,60,non veg
diploma,anapurna,chilli chicken,170,non veg
diploma,anapurna,lemon chicken,170,non veg
diploma,anapurna,peper chicken,170,non veg
diploma,anapurna,chicken pakodi,170,non veg
diploma,anapurna,veg manchuria,100,veg
diploma,anapurna,veg cutlet,100,veg
diploma,anapurna,onion pakodi,30,veg
svecw,anapurna,single puri,20,veg
svecw,anapurna,single vada,20,veg
svecw,anapurna,mysoore bajji,30,veg
svecw,anapurna,ravva punuku,30,veg
svecw,anapurna,chapati,40,veg
svecw,anapurna,egg chapati,50,veg
svecw,anapurna,plain dosa,30,veg
svecw,anapurna,onion dosa,35,veg
svecw,anapurna,masala dosa,45,veg
svecw,anapurna,ravva dosa,40,veg
svecw,anapurna,egg dosa,50,veg
svecw,anapurna,uttapam,40,veg
svecw,anapurna,mirchi bajji,20,veg
svecw,anapurna,challa punugulu,20,veg
svecw,anapurna,onion pakoda,30,veg
svecw,anapurna,egg bajji,20,veg
svecw,anapurna,chicken friedrice,170,non veg
svecw,anapurna,chicken biryani,170,non veg
svecw,anapurna,veg biryani,120,veg
svecw,anapurna,veg friedrice,100,veg
svecw,anapurna,mixed biryani,200,non veg
svecw,anapurna,egg biryani,160,veg
svecw,anapurna,prawn biryani,200,non veg
svecw,anapurna,sp biryani,190,non veg
svecw,anapurna,panjabi biryani,200,non veg
svecw,anapurna,egg friedrice,120,veg
svecw,anapurna,chicken roasted friedrice,170,non veg
svecw,anapurna,prawn friedrice,190,non veg
svecw,anapurna,mixed friedrice,200,non veg
svecw,anapurna,sp friedrice,190,non veg
svecw,anapurna,veg noodles,100,veg
svecw,anapurna,egg noodles,110,veg
svecw,anapurna,chicken noodles,130,non veg
svecw,anapurna,meals,76,veg
svecw,anapurna,egg omlet single,20,veg
svecw,anapurna,egg omlet double,35,veg
svecw,anapurna,egg 65,100,veg
svecw,anapurna,egg manchuria,100,veg
svecw,anapurna,chicken 65,170,non veg
svecw,anapurna,chicken spring roll,170,non veg
svecw,anapurna,chicken manchuria,170,non veg
svecw,anapurna,chicken kabab,60,non veg
svecw,anapurna,chilli chicken,170,non veg
svecw,anapurna,lemon chicken,170,non veg
svecw,anapurna,peper chicken,170,non veg
svecw,anapurna,chicken pakodi,170,non veg
svecw,anapurna,veg manchuria,100,veg
svecw,anapurna,veg cutlet,100,veg
svecw,anapurna,onion pakodi,30,veg
svecw,anapurna,single puri,20,veg
svecw,anapurna,single vada,20,veg
svecw,anapurna,mysoore bajji,30,veg
svecw,anapurna,ravva punuku,30,veg
svecw,anapurna,chapati,40,veg
svecw,anapurna,egg chapati,50,veg
svecw,anapurna,plain dosa,30,veg
svecw,anapurna,onion dosa,35,veg
svecw,anapurna,masala dosa,45,veg
svecw,anapurna,ravva dosa,40,veg
svecw,anapurna,egg dosa,50,veg
svecw,anapurna,uttapam,40,veg
svecw,anapurna,mirchi bajji,20,veg
svecw,anapurna,challa punugulu,20,veg
svecw,anapurna,onion pakoda,30,veg
degree,anapurna,egg bajji,20,veg
degree,anapurna,chicken friedrice,170,non veg
degree,anapurna,chicken biryani,170,non veg
degree,anapurna,veg biryani,120,veg
degree,anapurna,veg friedrice,100,veg
degree,anapurna,mixed biryani,200,non veg
degree,anapurna,egg biryani,160,veg
degree,anapurna,prawn biryani,200,non veg
degree,anapurna,sp biryani,190,non veg
degree,anapurna,panjabi biryani,200,non veg
